feature,importance
x_0,0.12550235125242817
x_1,0.1123306101047341
x_2,0.09564604017341449
x_4,0.09061037885185097
x_3,0.08979903568980438
x_5,0.05799646901430772
x_6,0.03587362860573094
x_7,0.027335274254750148
x_9,0.02400200952110652
x_10,0.014830974178961124
x_14,0.011812862563209743
x_12,0.010765384726518164
x_13,0.010299746892215954
x_8,0.00863643046353014
x_16,0.007924801068220057
x_11,0.0074879526581273035
x_18,0.007363290322252488
x_17,0.006950798696027544
x_24,0.006937341620935993
x_23,0.006834723649578931
x_20,0.005780809541037517
x_19,0.0057627464249989475
x_31,0.005573662109264328
x_28,0.005308595958249944
x_15,0.005129012188351926
x_25,0.0050568463686558734
x_34,0.005054133559414304
x_27,0.00502995155098343
x_21,0.00500323646155349
x_22,0.004556158008419474
x_39,0.004495902800593387
x_26,0.004317760358277477
x_32,0.004289718304334283
x_33,0.004274805835055915
x_36,0.004169540123110923
x_40,0.004023023381824581
x_38,0.0038899086472504456
x_37,0.003881505407839936
x_30,0.003819232444048797
x_35,0.00378316492922385
x_29,0.0036400584128903866
x_42,0.0035242940317647335
x_41,0.003124077854018912
x_43,0.0029765612770805256
x_44,0.0028884345294619813
x_45,0.00287012265631075
x_48,0.0028636491577228324
x_50,0.0028496270492140425
x_54,0.0026391947185737583
x_78,0.0026282471622896325
x_79,0.0025554017833724664
x_58,0.0025442618215770754
x_49,0.002541697323974608
x_53,0.002525713579074533
x_46,0.0025223129476460264
x_80,0.002512849114267802
x_51,0.0025080719678606863
x_52,0.002488920979277619
x_56,0.0024854190654292245
x_68,0.0024835115611807216
x_47,0.0024626605892676743
x_62,0.0024540855499500043
x_84,0.002443498886780563
x_55,0.00243657288462561
x_99,0.0024116818851709727
x_60,0.002406189745546941
x_93,0.002395414410089984
x_74,0.002393148860239589
x_98,0.002388750082537446
x_64,0.002373204678858771
x_71,0.0023705156482933098
x_59,0.00236646584093996
x_88,0.0023630763034417183
x_69,0.002360372277265873
x_57,0.002353985242971072
x_97,0.0023484748395635464
x_63,0.0023449078290247757
x_65,0.0023442574984762353
x_81,0.0023441178588863884
x_67,0.0023385081250293996
x_76,0.002329762133124823
x_73,0.002329635564902079
x_61,0.0023207761400961206
x_72,0.0023104736655267253
x_85,0.0022959002916000774
x_92,0.0022837235959838804
x_83,0.00227303177406792
x_90,0.0022726098736272067
x_66,0.0022706232973155795
x_70,0.0022683557822989714
x_86,0.002249865603738566
x_94,0.0022424768625007954
x_77,0.002233472190698632
x_75,0.0022263434568186805
x_82,0.0022195049345406616
x_96,0.0022144493528000785
x_95,0.0022136128575698344
x_87,0.002158581405503832
x_89,0.0021557339879078284
x_91,0.0021189324892355974
